,label,text
44,1,外觀非常大氣，無框車門，電動尾翼，霸氣的前臉。感覺看着她心裏就美美的。
45,1,帥氣，空間動力
46,1,當然是空間跟小衆，電動尾翼尾門都不錯，動力非常不錯，覺得益於變速箱的聰明，懸掛系統感覺非常好
47,1,無框玻璃，電動後備箱，尾翼
48,1,無框車門加自動尾翼
49,1,無框門和小尾翼
50,1,最滿意的就是無框門，電動尾翼了。
51,1,最滿意的是外觀，和品牌。全景天窗，無框車門，拉風尾翼，掀背造型。操控性能，巨大的空間和後備箱。相對較高的地盤。總體實用又有面。
52,1,最滿意肯定是外觀了掀背無框車門自動升降尾翼泡妞裝逼利器.
53,1,溜背無框車窗全景天窗電動尾翼滿足以上條件的車沒gt空間大
54,1,空間當初毫不猶豫的下定空間是主要的一部分當然帥帥的無框車門加裝逼小尾翼也是不能少的
55,1,空間、外觀、油耗、動力
56,1,空間大，操控性好，無框車門、電動尾翼b格高，舒適度好。
57,1,空間大，無框車門，自動尾翼，全景天窗。
58,1,空間，外形，雖然是鈣版，也有不缺實用的配置。
59,1,空間／外形／油耗
60,1,自動尾翼，動力足夠，無邊車窗，跨界車。
61,1,車門、全景天窗、電動尾門
62,1,造型拉風，溜背，無框，尾翼，全景，7字出風口
63,1,首先是外形，掀背車的造型，比三系更高更厚重的車頭以及車身。無框玻璃，全景天窗，最最拉風的是寶馬裏唯一的電動升降尾翼。
64,1,品牌效應絕對的，性價比高，操控棒，三大件都屬於同級別的頂級配置，led大燈很炫。
65,1,剛有小寶寶家用非常適合但偶爾又想風騷一下大溜背無框車窗帥炸天
66,1,空間，尾箱，外觀。
67,1,無框車門後掀背自動尾翼外觀吊炸天
68,1,均衡性，空間大於3小於5，造型略顯別緻又不太過出跳，跑車的溜背加上略高的底盤，是一款均衡的多用途車。
69,1,外形拉風??小尾翼一百分
70,1,外觀和動力，外觀絕對漂亮，動力夠用！
71,1,外觀設計和操控性
72,1,外觀，動力，空間。
73,1,好品牌穩操控大空間低油耗高顏值！
74,1,就是外型果斷就是炫酷屌炸天，無框車門加騷包小尾翼。
75,1,提速快，穩定性好，空間大，操控完美
76,1,整車進口，升了底盤就是跟華晨工藝不一樣，無框車門逼格高，電動升降尾翼，丁字褲，這都是我最看重的地方，空間那是大大的有啊，非常給力的後備箱很能裝哦！
77,1,無框車門掀背尾翼冰河銀配598真的很好看
78,1,無框車門掀背尾箱小尾翼110速度自動擡起車內空間離地距離駕駛感受，這些都是我最終選擇gt這部跨界綜合車的原因。
79,1,是繼寶馬5gt的第二款掀背造型的轎車，雖然前臉跟3系li設計基本一樣，但是3gt車頭更高，更顯得穩重大氣，內部空間更大。
80,1,最滿意的地方肯定是外觀，m套的艾藍，無邊框車窗，寶馬的進口品質。
81,1,漂亮的尾翼
82,1,自動尾翼（很拉風），無框車門，全景天窗，b格滿滿的，空間非常不錯，超大後備箱，小衆車，不會爛大街
83,1,無框車門、尾翼、大後備箱，避震溫柔，坐姿高過轎車低於suv
84,1,後排空間。無框車門。大天窗。低油耗
85,1,動力強勁，操控靈活，讓人總有一種止不住的駕馭感
86,1,動力足夠了
87,1,hud超級方便，媽媽再也不用擔心我低頭看儀表盤走神了，動力相對一般2.0t充沛很多
88,1,m套件和led天使眼，nbt大屏，無鑰匙進入，看到車子的那一刻就心滿意足了哈哈！
89,1,擼主是一個典型的看顏值勝過看內涵的人，在這個看臉的時代，對小三最滿意的還是：外觀！外觀！外觀！
90,1,動力.動力.動力.操控.操控.操控！寶馬無需直線3系操控在我心中已經完美！
91,1,328i的動力不是蓋的！老婆開挺好，空間很好，操控其實我也不懂，比我的明銳好多了，哈哈…（勿噴！）掀背車的後備箱不用多說，如果你想，它就能！
